路線系統ID,站點ID,站點名稱,英文標示,站點描述,站點圖片,是否為轉乘點,轉乘資訊,徒步指引,GoogleMap連結
n_shuangxi,01,蕭家田頭土地公,Start,起點。準備進入山林聚落。,wYG43xow.jpeg,FALSE,,前往下一站：800m 步行約 13 分鐘 下坡 23m,
n_shuangxi,02,雞母嶺福德祠,Stop 2,古道旁的庇護所。,,FALSE,,前往下一站：1300m 步行約 18 分鐘 下坡 85m,
n_shuangxi,03,打鐵寮福德廟,Stop 3,見證早期產業發展的福德廟。,,FALSE,,前往下一站：800m 步行約 14 分鐘 爬升 19m,
n_shuangxi,04,外文秀坑福德廟,Stop 4,綠意環繞的清幽之地。,,FALSE,,前往下一站：950m 步行約 15 分鐘 爬升 28m,
n_shuangxi,05,土地公嶺福德祠,Stop 5,位於嶺頂，視野逐漸開闊。,,FALSE,,前往下一站：1400m 步行約 25 分鐘 爬升 70m,
n_shuangxi,06,嶺頭土地祠,Stop 6,越嶺的高點，稍作休息。,,FALSE,,前往下一站：1200m 步行約 16 分鐘 下坡 70m,
n_shuangxi,07,三港福德祠,Stop 7,進入三港地區。,,FALSE,,前往下一站：650m 步行約 8 分鐘 下坡 9m,
n_shuangxi,08,三港福德廟,Stop 8,感受在地信仰凝聚力。,,FALSE,,前往下一站：650m 步行約 8 分鐘（平緩路段）,
n_shuangxi,09,三港水尾福德祠,Stop 9,水路交會處的守護者。,,FALSE,,前往下一站：350m 步行約 5 分鐘（平緩路段）,
n_shuangxi,10,三港水尾福德廟,End,🏁 抵達終點，圓滿完成雙溪三巷福德之旅。,,TRUE,完成路線,,
n_coast,00,福隆火車站大廳,Start,起點。集結出發，補充水分。,,TRUE,台鐵,,
n_coast,01,魏家村石頭福德廟,Stop 1,特色石頭建築的福德廟。,,FALSE,,,
n_coast,02,虎子山福德廟,Stop 2,依山傍海的靜謐角落。,,FALSE,,,
n_coast,03,東興宮旁挖子港福德廟,Stop 3,鄰近漁港，守護出海平安。,,FALSE,,,
n_coast,04,桂安街福德廟,Stop 4,海岸村落的信仰中心。,,FALSE,,,
n_coast,05,香蘭土地公,Stop 5,吹著海風的土地公。,,FALSE,,,
n_coast,06,卯澳福德廟,Stop 6,抵達此處約已步行 8 公里，可稍作大休。,,TRUE,公車撤退點,"百年石頭屋,卯澳漁村",
